feature,importance
FP1_MaxStint_MEDIUM,0.0027865183
FP3_TrackTemp_mean,0.0027835593
FP2_AvgTyreLife_HARD,0.0027826433
FP1_FastestSpeedOnTyre_HARD,0.0027814475
FP3_AvgLapTimeOnTyre_SOFT,0.0027794128
FP3_Driver_RUS,0.0027747152
BroadcastName_P GASLY,0.0027692744
FP3_AvgLapTimeOnTyre_MEDIUM,0.0027452528
FP1_FastestLapTimeOnTyre_HARD,0.0027401827
FP3_FastestLapTimeOnTyre_INTERMEDIATE,0.0027373242
FP3_TrackTemp_max,0.0027372276
FP1_AvgTyreLife_SOFT,0.002734315
FP2_Driver_HUL,0.0027242776
FP1_AirTemp_min,0.0027181269
FP1_Yellow,0.0027153357
FP1_AvgPitStopDuration_ms,0.0027113787
FP1_AvgTyreLife_HARD,0.0027101922
FP3_AvgTyreLife_HARD,0.0027062388
FP3_WindDirection_mean,0.0027005328
FP3_AvgTyreLife_SOFT,0.0026932794
FP2_Red,0.0026896894
FP3_Humidity_mean,0.002689403
FP3_AvgTyreLife_MEDIUM,0.0026851285
FP3_FastestSpeedOnTyre_MEDIUM,0.002685118
TeamId_aston_martin,0.0026718383
FP2_AvgTyreLife_MEDIUM,0.002667131
FP1_FastestSpeedOnTyre_MEDIUM,0.0026665544
FP3_SCDeployed,0.0026659877
FP2_AvgLapTimeOnTyre_MEDIUM,0.0026581571
FP2_AirTemp_max,0.002646449
FP1_AirTemp_mean,0.0026440143
FP3_AvgSpeedOnTyre_MEDIUM,0.002642762
FP2_AvgLapTimeOnTyre_SOFT,0.0026381416
FP2_TrackTemp_max,0.0026266798
BroadcastName_L SARGEANT,0.0026235378
FP2_FastestLapTimeOnTyre_HARD,0.002623277
Country_Australia,0.0026203124
FP1_MaxStint_WET,0.002620183
FP2_Yellow,0.0026190046
FP3_AvgTyreLife_INTERMEDIATE,0.0026189976
FP1_AvgSpeedOnTyre_WET,0.002610477
FP1_TrackTemp_max,0.002607993
FP2_MaxStint_INTERMEDIATE,0.002606437
FP1_Driver_OCO,0.0025923771
TeamId_alfa,0.0025887894
FP3_RACENUMBER,0.0025543708
FP1_Pressure_max,0.0025469626
Location_Montréal,0.002546949
FP1_AvgLapTimeOnTyre_MEDIUM,0.002545972
FP1_AvgSpeedOnTyre_MEDIUM,0.0025410317
FP1_FastestLapTimeOnTyre_SOFT,0.0025309992
FP1_Pressure_min,0.002524198
FP2_Driver_GAS,0.0025230327
FP3_MaxStint_SOFT,0.002509491
FP1_TrackTemp_min,0.0025059758
FP1_AirTemp_max,0.0025059192
FP1_WindDirection_mean,0.0025032915
Session5TimeOfDay_evening,0.0024979105
FP1_FastestSpeedOnTyre_SOFT,0.0024928546
DriverId_hamilton,0.0024812683
FP1_AvgSpeedOnTyre_HARD,0.0024778366
FP3_FastestLapTimeOnTyre_MEDIUM,0.0024765597
FP2_FastestLapTimeOnTyre_SOFT,0.002471034
Abbreviation_HAM,0.0024700093
slow,0.0024499865
FP3_Pressure_min,0.0024482368
FP1_WindSpeed_mean,0.0024319354
FP3_MaxStint_HARD,0.002412095
FP2_FastestSpeedOnTyre_SOFT,0.0024089906
FP2_Humidity_mean,0.0023979852
FP2_AvgTyreLife_INTERMEDIATE,0.002393906
FP3_AvgSpeedOnTyre_WET,0.0023832726
FP3_AvgLapTimeOnTyre_INTERMEDIATE,0.002381539
CountryCode_JPN,0.0023756132
FP2_TotalPitStops,0.0023522652
medium,0.002342602
FP1_Driver_HAM,0.0023407359
Session1TimeOfDay_morning,0.00233719
Session2TimeOfDay_afternoon,0.0023351312
Session3TimeOfDay_morning,0.0023337682
FP1_Pressure_mean,0.002332548
FP2_FastestSpeedOnTyre_MEDIUM,0.0023254454
FP1_Driver_SAI,0.002299794
Location_Miami,0.0022956093
FP2_TrackTemp_min,0.0022911527
FP2_TrackTemp_mean,0.002272934
FP2_Humidity_min,0.0022726718
Country_Qatar,0.0022550824
FP3_MaxStint_MEDIUM,0.002252105
FP2_RACENUMBER,0.0022514903
Session4TimeOfDay_afternoon,0.0022259944
FP1_Driver_ALB,0.0022176977
FP2_MaxStint_HARD,0.0022151568
FP3_Driver_BOT,0.0021950596
Session1TimeOfDay_evening,0.0021929923
BroadcastName_A ALBON,0.0021890565
FP2_VSCDeployed,0.0021756927
FP2_WindSpeed_max,0.0021728096
EventFormat_conventional,0.002155437
FP2_Driver_BOT,0.0021423195
CountryCode_GBR,0.0021421767
TeamName_Alfa Romeo,0.0021376237
Country_Brazil,0.002131452
FP1_AvgLapTimeOnTyre_WET,0.0021140575
FP1_MaxStint_INTERMEDIATE,0.00211287
BroadcastName_F ALONSO,0.0021059767
EventName_Qatar Grand Prix,0.0020926327
Country_Belgium,0.0020920737
FP1_VSCDeployed,0.0020894115
FP2_FastestSpeedOnTyre_HARD,0.0020786743
FP2_Pressure_max,0.0020714512
FP1_Driver_VER,0.0020697832
Abbreviation_NOR,0.0020688367
FP2_SCDeployed,0.0020135823
Country_Canada,0.0020109222
FP1_Driver_SAR,0.0020023584
FP3_Driver_STR,0.0019840684
FP3_Driver_ZHO,0.0019704935
TeamId_haas,0.0019244415
Country_United States,0.0019223052
RACENUMBER,0.0019116943
TeamName_RB,0.0019100842
Abbreviation_ALO,0.0019008386
FP1_FastestLapTimeOnTyre_INTERMEDIATE,0.0018657377
EventFormat_sprint_qualifying,0.0018342596
Session2TimeOfDay_evening,0.0018315214
FP3_Driver_ALB,0.0018135114
FP1_FastestSpeedOnTyre_INTERMEDIATE,0.0017749484
