feature,importance
RACE_AvgTyreLife_HARD,0.0031168007
RACE_FastestSpeedOnTyre_MEDIUM,0.0031085978
FP1_AvgPitStopDuration_ms,0.003104699
RACE_MaxStint_MEDIUM,0.0030940317
FP3_TrackTemp_mean,0.00308439
FP1_FastestSpeedOnTyre_HARD,0.0030838677
FP1_MaxStint_HARD,0.0030766753
ComparativePace_FP3_FastestSector1Time_ms,0.003073605
BroadcastName_C SAINZ,0.0030657402
Quali_AvgLapTimeOnTyre_INTERMEDIATE,0.003051456
FP3_FastestLapTimeOnTyre_MEDIUM,0.0030432967
CountryCode_AUS,0.0030179638
Quali_AvgSpeedOnTyre_SOFT,0.0030082082
FP1_AvgTyreLife_MEDIUM,0.0030047481
FP1_AvgSpeedOnTyre_HARD,0.0029999574
FP3_AvgSector3Time_ms,0.0029798273
FP3_AvgLapTimeOnTyre_MEDIUM,0.0029757952
FP3_FastestLapTimeOnTyre_SOFT,0.0029729945
RACE_AirTemp_mean,0.002952704
ComparativePace_FP3_FastestSector3Time_ms,0.0029365742
RACE_AvgTyreLife_SOFT,0.0029335395
FP3_AvgSpeedOnTyre_MEDIUM,0.0029194306
FP1_TrackTemp_max,0.0028995534
FP2_AvgSpeedOnTyre_MEDIUM,0.0028906025
FP3_AvgTyreLife_MEDIUM,0.002868131
FP2_AvgLapTimeOnTyre_SOFT,0.0028595885
FP2_AvgSector2Time_ms,0.0028102354
FP2_TrackTemp_mean,0.0028055075
FP1_Pressure_mean,0.0027968308
RACE_WindDirection_mean,0.0027902874
RACE_FastestSpeedOnTyre_HARD,0.0027877167
Quali_AvgSector3Time_ms,0.0027826724
FP1_WindDirection_mean,0.0027734528
FP3_AvgTyreLife_SOFT,0.002772952
RACE_FastestSector2Time_ms,0.0027559395
FP1_FastestLapTimeOnTyre_SOFT,0.002747593
FP2_WindDirection_mean,0.0027348835
FP2_FastestLapTimeOnTyre_MEDIUM,0.0027315402
FP3_MaxStint_MEDIUM,0.002720833
FP3_AvgPitStopDuration_ms,0.0027064914
Quali_Pressure_min,0.002687405
FP1_FastestLapTimeOnTyre_MEDIUM,0.002686012
Quali_TrackTemp_min,0.0026695076
Quali_FastestLapTimeOnTyre_SOFT,0.0026678538
FP1_WindSpeed_max,0.0026643816
RACE_TrackTemp_mean,0.0026490358
FP2_FastestSpeedOnTyre_SOFT,0.0026266102
FP1_AvgSpeedOnTyre_MEDIUM,0.0026164255
FP1_Red,0.002606604
FP2_AvgTyreLife_HARD,0.0026039777
RACE_AvgPitStopDuration_ms,0.0025980817
FP3_AirTemp_min,0.0025927362
FP2_MaxStint_MEDIUM,0.0025900565
FP2_AvgLapTimeOnTyre_INTERMEDIATE,0.0025769104
FP2_MaxStint_INTERMEDIATE,0.0025715416
CountryCode_GBR,0.0025698384
FP2_AvgSpeedOnTyre_HARD,0.0024991382
FP1_AvgSector2Time_ms,0.0024924055
FP2_FastestLapTimeOnTyre_SOFT,0.002488022
FP1_MaxStint_SOFT,0.0024868355
Quali_AirTemp_max,0.0024753707
FP3_FastestLapTimeOnTyre_HARD,0.0024715613
