RACEYEAR,RACENUMBER,FP1_AirTemp_mean,FP1_AirTemp_min,FP1_AirTemp_max,FP1_Humidity_mean,FP1_Humidity_min,FP1_Humidity_max,FP1_Pressure_mean,FP1_Pressure_min,FP1_Pressure_max,FP1_Rainfall_max,FP1_TrackTemp_mean,FP1_TrackTemp_min,FP1_TrackTemp_max,FP1_WindDirection_mean,FP1_WindSpeed_mean,FP1_WindSpeed_max,Driver,FP1_AvgSector1Time_ms,FP1_FastestSector1Time_ms,FP1_AvgSector2Time_ms,FP1_FastestSector2Time_ms,FP1_AvgSector3Time_ms,FP1_FastestSector3Time_ms,FP1_FastestFullLapTime_ms,FP1_AvgPitStopDuration_ms,FP1_TotalPitStops,FP1_MaxStint_HARD,FP1_MaxStint_INTERMEDIATE,FP1_MaxStint_MEDIUM,FP1_MaxStint_SOFT,FP1_MaxStint_TEST_UNKNOWN,FP1_MaxStint_UNKNOWN,FP1_MaxStint_WET,FP1_AvgTyreLife_HARD,FP1_AvgTyreLife_INTERMEDIATE,FP1_AvgTyreLife_MEDIUM,FP1_AvgTyreLife_SOFT,FP1_AvgTyreLife_TEST_UNKNOWN,FP1_AvgTyreLife_UNKNOWN,FP1_AvgTyreLife_WET,FP1_AvgSpeedOnTyre_HARD,FP1_AvgSpeedOnTyre_INTERMEDIATE,FP1_AvgSpeedOnTyre_MEDIUM,FP1_AvgSpeedOnTyre_SOFT,FP1_AvgSpeedOnTyre_TEST_UNKNOWN,FP1_AvgSpeedOnTyre_UNKNOWN,FP1_AvgSpeedOnTyre_WET,FP1_FastestSpeedOnTyre_HARD,FP1_FastestSpeedOnTyre_INTERMEDIATE,FP1_FastestSpeedOnTyre_MEDIUM,FP1_FastestSpeedOnTyre_SOFT,FP1_FastestSpeedOnTyre_TEST_UNKNOWN,FP1_FastestSpeedOnTyre_UNKNOWN,FP1_FastestSpeedOnTyre_WET,FP1_AvgLapTimeOnTyre_HARD,FP1_AvgLapTimeOnTyre_INTERMEDIATE,FP1_AvgLapTimeOnTyre_MEDIUM,FP1_AvgLapTimeOnTyre_SOFT,FP1_AvgLapTimeOnTyre_TEST_UNKNOWN,FP1_AvgLapTimeOnTyre_UNKNOWN,FP1_AvgLapTimeOnTyre_WET,FP1_FastestLapTimeOnTyre_HARD,FP1_FastestLapTimeOnTyre_INTERMEDIATE,FP1_FastestLapTimeOnTyre_MEDIUM,FP1_FastestLapTimeOnTyre_SOFT,FP1_FastestLapTimeOnTyre_TEST_UNKNOWN,FP1_FastestLapTimeOnTyre_UNKNOWN,FP1_FastestLapTimeOnTyre_WET,FP1_Red,FP1_SCDeployed,FP1_VSCDeployed,FP1_Yellow
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,NOR,36327.78947368421,30659.0,47306.72727272727,41188.0,28374.545454545456,24063.0,96304.0,655987.0,2.0,,,3.0,2.0,,,,,,6.5,6.166666666666667,,,,,,248.8,275.0,,,,,,276.0,276.0,,,,,,107006.1,109078.16666666667,,,,,,96388.0,96304.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,OCO,39526.0,30167.0,50021.0,41130.0,29076.0,23825.0,95151.0,639577.3333333334,3.0,,,,4.0,,,,,,,5.125,,,,,,,249.625,,,,,,,283.0,,,,,,,115857.875,,,,,,,95151.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,PER,37156.75,30366.0,46449.27272727273,41024.0,26823.863636363636,23660.0,95050.0,434677.0,3.0,1.0,,4.0,,,,,2.5,,10.571428571428571,,,,,272.0,,259.35714285714283,,,,,277.0,,281.0,,,,,109335.5,,106920.0,,,,,97459.0,,95050.0,,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,RIC,35956.17647058824,30592.0,47518.85,41603.0,29523.7,24152.0,96402.0,798150.0,2.0,,,3.0,2.0,,,,,,5.5,6.166666666666667,,,,,,247.75,275.0,,,,,,278.0,278.0,,,,,,107471.75,110058.5,,,,,,97356.0,96402.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,RUS,40684.15,30269.0,49174.72727272727,40672.0,30069.772727272728,23605.0,94629.0,298706.25,4.0,,,2.0,5.0,,,,,,5.833333333333333,8.142857142857142,,,,,,261.3333333333333,233.57142857142858,,,,,,278.0,278.0,,,,,,107248.66666666667,106326.42857142857,,,,,,96487.0,94629.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,SAI,38970.6,30071.0,46226.27272727273,40722.0,27489.863636363636,23683.0,94611.0,287196.0,4.0,2.0,,5.0,,,,,6.166666666666667,,6.75,,,,,276.0,,248.375,,,,,281.0,,283.0,,,,,101058.33333333333,,113775.375,,,,,96319.0,,94611.0,,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,STR,36888.68421052631,30324.0,47897.90909090909,40593.0,28686.954545454544,23805.0,94814.0,662708.0,2.0,2.0,,,3.0,,,,6.714285714285714,,,6.0,,,,266.0,,,230.66666666666666,,,,277.0,,,277.0,,,,101621.0,,,118037.44444444444,,,,97402.0,,,94814.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,TSU,36155.0,30217.0,48173.55,40850.0,28449.684210526317,23778.0,95028.0,521733.3333333333,3.0,2.0,,,4.0,,,,5.2,,,5.571428571428571,,,,276.6,,,250.71428571428572,,,,279.0,,,282.0,,,,107929.6,,,111385.85714285714,,,,96783.0,,,95028.0,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,VER,36968.26315789474,30119.0,44817.09523809524,40789.0,26626.238095238095,23703.0,94742.0,428185.3333333333,3.0,1.0,,4.0,,,,,2.0,,10.6,,,,,176.0,,255.06666666666666,,,,,176.0,,279.0,,,,,97766.0,,104789.13333333333,,,,,97766.0,,94742.0,,,,,1,0,0,6
2022,1,19.885365853658534,19.6,20.2,36.40243902439025,34.0,38.0,1016.0378048780489,1015.9,1016.2,True,34.74634146341463,32.0,37.0,108.1951219512195,0.8304878048780489,1.2,ZHO,37708.0,30140.0,49845.35,41057.0,28305.45,23805.0,95053.0,526783.3333333334,3.0,2.0,,,4.0,,,,7.25,,,4.0,,,,274.0,,,230.2,,,,277.0,,,282.0,,,,104948.125,,,114444.8,,,,97656.0,,,95053.0,,,,1,0,0,6
