,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamId,CountryCode,Position,ClassifiedPosition,GridPosition,Time,Status,Points,RACEYEAR,RACENUMBER,WinnerTime,WinnerDriver,Racepace,IsWinnerFlag,RACE_AirTemp_mean,RACE_AirTemp_min,RACE_AirTemp_max,RACE_Humidity_mean,RACE_Humidity_min,RACE_Humidity_max,RACE_Pressure_mean,RACE_Pressure_min,RACE_Pressure_max,RACE_Rainfall_max,RACE_TrackTemp_mean,RACE_TrackTemp_min,RACE_TrackTemp_max,RACE_WindDirection_mean,RACE_WindSpeed_mean,RACE_WindSpeed_max,RACE_SESSIONTYPE_first,Driver_x,AvgPitStopDuration_ms,TotalPitStops,Driver_y,RACE_MaxStint_HARD,RACE_MaxStint_INTERMEDIATE,RACE_MaxStint_MEDIUM,RACE_MaxStint_SOFT,RACE_MaxStint_WET,RACE_AvgTyreLife_HARD,RACE_AvgTyreLife_INTERMEDIATE,RACE_AvgTyreLife_MEDIUM,RACE_AvgTyreLife_SOFT,RACE_AvgTyreLife_WET,RACE_AvgSpeedOnTyre_HARD,RACE_AvgSpeedOnTyre_INTERMEDIATE,RACE_AvgSpeedOnTyre_MEDIUM,RACE_AvgSpeedOnTyre_SOFT,RACE_AvgSpeedOnTyre_WET,RACE_AvgLapTimeOnTyre_HARD,RACE_AvgLapTimeOnTyre_INTERMEDIATE,RACE_AvgLapTimeOnTyre_MEDIUM,RACE_AvgLapTimeOnTyre_SOFT,RACE_AvgLapTimeOnTyre_WET,RACE_Red,RACE_SCDeployed,RACE_VSCDeployed,RACE_Yellow,fast,medium,slow,TotalCorners,Country,Location,OfficialEventName,EventName,EventFormat,Session1TimeOfDay,Session2TimeOfDay,Session3TimeOfDay,Session4TimeOfDay,Session5TimeOfDay
21,1,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,NED,2.0,2,15.0,5355.0,Finished,19.0,2023,2,4874894.0,perez,0.0010984854234779259,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,VER,20859.0,1.0,VER,2.0,,1.0,,,17.5,,9.0,,,297.73333333333335,,302.11764705882354,,,93030.4,,95954.05882352941,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
22,14,F ALONSO,ALO,alonso,Aston Martin,aston_martin,ESP,3.0,3,2.0,20728.0,Finished,15.0,2023,2,4874894.0,perez,0.004251989889421185,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,ALO,26859.0,1.0,ALO,2.0,,1.0,,,18.5,,9.0,,,292.6333333333333,,291.8235294117647,,,93560.86666666667,,95039.58823529411,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
23,63,G RUSSELL,RUS,russell,Mercedes,mercedes,GBR,4.0,4,3.0,25866.0,Finished,12.0,2023,2,4874894.0,perez,0.005305961524496737,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,RUS,20828.0,1.0,RUS,2.0,,1.0,,,17.5,,9.0,,,293.2,,289.8235294117647,,,93724.2,,95514.94117647059,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
24,44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,GBR,5.0,5,7.0,31065.0,Finished,10.0,2023,2,4874894.0,perez,0.006372446252164663,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,HAM,21062.0,1.0,HAM,1.0,,2.0,,,9.0,,17.5,,,292.52941176470586,,296.26666666666665,,,96358.88235294117,,93867.76666666666,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
25,55,C SAINZ,SAI,sainz,Ferrari,ferrari,ESP,6.0,6,4.0,35876.0,Finished,8.0,2023,2,4874894.0,perez,0.007359339505638482,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,SAI,20750.0,1.0,SAI,2.0,,1.0,,,18.38235294117647,,7.5,,,284.44117647058823,,300.2857142857143,,,97495.82352941176,,95920.85714285714,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
26,16,C LECLERC,LEC,leclerc,Ferrari,ferrari,MON,7.0,7,12.0,43162.0,Finished,6.0,2023,2,4874894.0,perez,0.008853936106097896,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,LEC,20062.0,1.0,LEC,2.0,,,1.0,,17.90909090909091,,,8.0,,289.1818181818182,,,298.93333333333334,,97735.60606060606,,,96130.06666666667,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
27,31,E OCON,OCO,ocon,Alpine,alpine,FRA,8.0,8,6.0,52832.0,Finished,4.0,2023,2,4874894.0,perez,0.010837568980987073,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,OCO,20797.0,1.0,OCO,2.0,,1.0,,,17.90909090909091,,8.0,,,287.4848484848485,,290.8,,,97893.84848484848,,96449.2,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
28,10,P GASLY,GAS,gasly,Alpine,alpine,FRA,9.0,9,9.0,54747.0,Finished,2.0,2023,2,4874894.0,perez,0.011230398035321384,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,GAS,20703.0,1.0,GAS,2.0,,1.0,,,18.857142857142858,,7.0,,,286.57142857142856,,297.6923076923077,,,97776.34285714285,,96791.23076923077,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
29,20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,DEN,10.0,10,13.0,64825.99999999999,Finished,1.0,2023,2,4874894.0,perez,0.013297930170379087,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,MAG,20922.0,1.0,MAG,2.0,,1.0,,,21.5,,4.0,,,291.85714285714283,,296.7142857142857,,,98907.47619047618,,98059.85714285714,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
30,22,Y TSUNODA,TSU,tsunoda,AlphaTauri,alphatauri,JPN,11.0,11,16.0,67494.0,Finished,0.0,2023,2,4874894.0,perez,0.01384522412179629,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,TSU,21406.0,1.0,TSU,2.0,,1.0,,,17.4375,,8.5,,,289.15625,,291.0,,,97973.5625,,97026.4375,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
