RACEYEAR,RACENUMBER,Quali_AirTemp_mean,Quali_AirTemp_min,Quali_AirTemp_max,Quali_Humidity_mean,Quali_Humidity_min,Quali_Humidity_max,Quali_Pressure_mean,Quali_Pressure_min,Quali_Pressure_max,Quali_Rainfall_max,Quali_TrackTemp_mean,Quali_TrackTemp_min,Quali_TrackTemp_max,Quali_WindDirection_mean,Quali_WindSpeed_mean,Quali_WindSpeed_max,Driver,Quali_AvgSector1Time_ms,Quali_AvgSector2Time_ms,Quali_AvgSector3Time_ms,Quali_AvgPitStopDuration_ms,Quali_TotalPitStops,Quali_MaxStint_HARD,Quali_MaxStint_INTERMEDIATE,Quali_MaxStint_MEDIUM,Quali_MaxStint_SOFT,Quali_MaxStint_UNKNOWN,Quali_MaxStint_WET,Quali_AvgTyreLife_HARD,Quali_AvgTyreLife_INTERMEDIATE,Quali_AvgTyreLife_MEDIUM,Quali_AvgTyreLife_SOFT,Quali_AvgTyreLife_UNKNOWN,Quali_AvgTyreLife_WET,Quali_AvgSpeedOnTyre_HARD,Quali_AvgSpeedOnTyre_INTERMEDIATE,Quali_AvgSpeedOnTyre_MEDIUM,Quali_AvgSpeedOnTyre_SOFT,Quali_AvgSpeedOnTyre_UNKNOWN,Quali_AvgSpeedOnTyre_WET,Quali_FastestSpeedOnTyre_HARD,Quali_FastestSpeedOnTyre_INTERMEDIATE,Quali_FastestSpeedOnTyre_MEDIUM,Quali_FastestSpeedOnTyre_SOFT,Quali_FastestSpeedOnTyre_UNKNOWN,Quali_FastestSpeedOnTyre_WET,Quali_AvgLapTimeOnTyre_HARD,Quali_AvgLapTimeOnTyre_INTERMEDIATE,Quali_AvgLapTimeOnTyre_MEDIUM,Quali_AvgLapTimeOnTyre_SOFT,Quali_AvgLapTimeOnTyre_UNKNOWN,Quali_AvgLapTimeOnTyre_WET,Quali_FastestLapTimeOnTyre_HARD,Quali_FastestLapTimeOnTyre_INTERMEDIATE,Quali_FastestLapTimeOnTyre_MEDIUM,Quali_FastestLapTimeOnTyre_SOFT,Quali_FastestLapTimeOnTyre_UNKNOWN,Quali_FastestLapTimeOnTyre_WET,Quali_Red,Quali_Yellow,Abbreviation,Position,Quali_Q1_ms,Quali_Q2_ms,Quali_Q3_ms
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,OCO,33446.2,48955.333333333336,28600.5,443097.25,4.0,,,,5.0,,,,,,2.6,,,,,,286.2,,,,,,287.0,,,,,,91492.2,,,,,,90914.0,,,1,0,OCO,9.0,91508.0,90914.0,90984.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,PER,32840.333333333336,49170.357142857145,31321.071428571428,454551.2,5.0,,,,6.0,,,,,,2.25,,,,,,288.25,,,,,,289.0,,,,,,90550.5,,,,,,89846.0,,,1,0,PER,2.0,91479.0,90746.0,89846.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,PIA,33272.25,46283.0,32934.333333333336,282659.5,2.0,,,,3.0,,,,,,2.5,,,,,,285.0,,,,,,285.0,,,,,,92367.0,,,,,,92101.0,,,1,0,PIA,18.0,92101.0,,
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,RUS,33956.8,48739.666666666664,29935.466666666667,390188.0,4.0,,,,5.0,,,,,,2.6,,,,,,288.6,,,,,,290.0,,,,,,90941.6,,,,,,90340.0,,,1,0,RUS,6.0,91057.0,90507.0,90340.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,SAI,32309.18181818182,47302.529411764706,27702.1875,442129.4,5.0,,,1.0,6.0,,,,,2.0,2.6,,,,,288.0,288.8,,,,,288.0,290.0,,,,,92408.0,90697.2,,,,,92408.0,90154.0,,,1,0,SAI,4.0,90993.0,90515.0,90154.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,SAR,32318.0,47360.166666666664,32473.5,217668.0,1.0,,,,2.0,,,,,,2.0,,,,,,283.0,,,,,,285.0,,,,,,92162.5,,,,,,91652.0,,,1,0,SAR,16.0,91652.0,,
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,STR,32593.333333333332,46165.5,29050.352941176472,308675.8,5.0,,,,6.0,,,,,,3.0,,,,,,284.5,,,,,,287.0,,,,,,91499.16666666667,,,,,,90836.0,,,1,0,STR,8.0,91184.0,91127.0,90836.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,TSU,33488.0,47402.857142857145,28086.214285714286,335943.25,4.0,,,,5.0,,,,,,3.2,,,,,,286.4,,,,,,290.0,,,,,,92101.8,,,,,,91400.0,,,1,0,TSU,14.0,91400.0,92510.0,
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,VER,35146.333333333336,48145.42857142857,30077.85714285714,459116.8,5.0,,,,6.0,,,,,,2.25,,,,,,288.0,,,,,,288.0,,,,,,90350.75,,,,,,89708.0,,,1,0,VER,1.0,91295.0,90503.0,89708.0
2023,1,23.88,23.0,24.7,21.652631578947368,15.0,34.0,1017.641052631579,1017.4,1017.9,False,28.085263157894737,26.6,29.8,213.78947368421052,0.6073684210526316,1.3,ZHO,33827.625,46905.666666666664,31152.416666666668,315759.6666666667,3.0,,,,4.0,,,,,,2.75,,,,,,285.75,,,,,,286.0,,,,,,91817.0,,,,,,91473.0,,,1,0,ZHO,13.0,91615.0,91473.0,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,ALB,39390.857142857145,34446.444444444445,34574.555555555555,207326.0,1.0,,,,2.0,,,,,,2.8,,,,,,298.4,,,,,,313.0,,,,,,108995.0,,,,,,89994.0,,,0,6,ALB,17.0,89994.0,,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,ALO,38071.92307692308,31846.61111111111,34493.555555555555,342976.5,4.0,,,,5.0,,,,,,3.25,,,,,,297.875,,,,,,301.0,,,,,,98392.5,,,,,,88730.0,,,0,6,ALO,3.0,89298.0,88757.0,88730.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,BOT,38398.07142857143,33190.72222222222,35381.72222222222,181273.66666666666,3.0,,,,4.0,,,,,,3.4,,,,,,298.8,,,,,,307.0,,,,,,102782.5,,,,,,89668.0,,,0,6,BOT,14.0,89929.0,89668.0,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,DEV,44807.875,32334.6,36464.8,76960.0,2.0,,,,3.0,,,,,,2.4,,,,,,300.8,,,,,,305.0,,,,,,108748.8,,,,,,90244.0,,,0,6,DEV,18.0,90244.0,,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,GAS,37633.833333333336,31830.695652173912,34531.30434782609,256540.0,4.0,,,,5.0,,,,,,3.6923076923076925,,,,,,300.2307692307692,,,,,,308.0,,,,,,100013.46153846153,,,,,,89357.0,,,0,6,GAS,10.0,89890.0,89411.0,89357.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,HAM,38720.26666666667,32405.666666666668,35720.0,268612.7999999999,5.0,,,,6.0,,,,,,3.4444444444444446,,,,,,301.0,,,,,,307.0,,,,,,100050.0,,,,,,89223.0,,,0,6,HAM,8.0,89689.0,89374.0,89223.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,HUL,38551.5,33723.38888888889,35129.0,192065.66666666666,3.0,,,,4.0,,,,,,2.8,,,,,,301.2,,,,,,308.0,,,,,,104994.8,,,,,,89451.0,,,0,6,HUL,11.0,89547.0,89451.0,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,LEC,40021.4,37726.05263157895,37309.68421052631,486728.3333333332,3.0,,,,4.0,,,,,,3.625,,,,,,303.25,,,,,,307.0,,,,,,100395.125,,,,,,88420.0,,,0,6,LEC,2.0,89376.0,88903.0,88420.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,MAG,40994.692307692305,35192.82352941176,37172.470588235294,204867.33333333326,3.0,,,,4.0,,,,,,2.5714285714285716,,,,,,305.7142857142857,,,,,,308.0,,,,,,100682.0,,,,,,89517.0,,,0,6,MAG,13.0,89744.0,89634.0,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,NOR,42052.333333333336,34770.0,39154.0,,,,,,1.0,,,,,,2.0,,,,,,300.0,,,,,,300.0,,,,,,90447.0,,,,,,90447.0,,,0,6,NOR,19.0,90447.0,,
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,OCO,37376.42105263158,32956.791666666664,34271.708333333336,223395.75000000012,4.0,,,,5.0,,,,,,3.7142857142857144,,,,,,298.0,,,,,,306.0,,,,,,100672.57142857143,,,,,,89078.0,,,0,6,OCO,7.0,89707.0,89255.0,89078.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,PER,40207.166666666664,34157.944444444445,37387.61111111111,299193.4,5.0,,,,5.0,,,,,,3.4,,,,,,308.6,,,,,,311.0,,,,,,88855.8,,,,,,88265.0,,,0,6,PER,1.0,89244.0,88635.0,88265.0
2023,2,27.02375,26.6,27.4,44.7375,40.0,50.0,1010.4800000000001,1010.0,1010.9,False,31.66625,30.8,32.4,276.7625,1.5474999999999999,2.7,PIA,39526.61111111111,33079.608695652176,35606.217391304344,294781.5,4.0,,,,5.0,,,,,,2.9166666666666665,,,,,,295.4166666666667,,,,,,303.0,,,,,,99658.33333333333,,,,,,89243.0,,,0,6,PIA,9.0,89706.0,89378.0,89243.0
