,RACEYEAR,RACENUMBER,FP3_AirTemp_mean,FP3_AirTemp_min,FP3_AirTemp_max,FP3_Humidity_mean,FP3_Humidity_min,FP3_Humidity_max,FP3_Pressure_mean,FP3_Pressure_min,FP3_Pressure_max,FP3_Rainfall_max,FP3_TrackTemp_mean,FP3_TrackTemp_min,FP3_TrackTemp_max,FP3_WindDirection_mean,FP3_WindSpeed_mean,FP3_WindSpeed_max,Driver,AvgPitStopDuration_ms,TotalPitStops,FP3_MaxStint_HARD,FP3_MaxStint_INTERMEDIATE,FP3_MaxStint_MEDIUM,FP3_MaxStint_SOFT,FP3_MaxStint_UNKNOWN,FP3_MaxStint_WET,FP3_AvgTyreLife_HARD,FP3_AvgTyreLife_INTERMEDIATE,FP3_AvgTyreLife_MEDIUM,FP3_AvgTyreLife_SOFT,FP3_AvgTyreLife_UNKNOWN,FP3_AvgTyreLife_WET,FP3_AvgSpeedOnTyre_HARD,FP3_AvgSpeedOnTyre_INTERMEDIATE,FP3_AvgSpeedOnTyre_MEDIUM,FP3_AvgSpeedOnTyre_SOFT,FP3_AvgSpeedOnTyre_UNKNOWN,FP3_AvgSpeedOnTyre_WET,FP3_FastestSpeedOnTyre_HARD,FP3_FastestSpeedOnTyre_INTERMEDIATE,FP3_FastestSpeedOnTyre_MEDIUM,FP3_FastestSpeedOnTyre_SOFT,FP3_FastestSpeedOnTyre_UNKNOWN,FP3_FastestSpeedOnTyre_WET,FP3_AvgLapTimeOnTyre_HARD,FP3_AvgLapTimeOnTyre_INTERMEDIATE,FP3_AvgLapTimeOnTyre_MEDIUM,FP3_AvgLapTimeOnTyre_SOFT,FP3_AvgLapTimeOnTyre_UNKNOWN,FP3_AvgLapTimeOnTyre_WET,FP3_FastestLapTimeOnTyre_HARD,FP3_FastestLapTimeOnTyre_INTERMEDIATE,FP3_FastestLapTimeOnTyre_MEDIUM,FP3_FastestLapTimeOnTyre_SOFT,FP3_FastestLapTimeOnTyre_UNKNOWN,FP3_FastestLapTimeOnTyre_WET,FP3_Red,FP3_SCDeployed,FP3_VSCDeployed,FP3_Yellow
11,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,PER,414420.0,3,2.0,,,4.0,,,3.5,,,3.5,,,267.5,,,173.5,,,285.0,,,286.0,,,94572.5,,,109758.5,,,94049.0,,,92446.0,,,0,0,0,0
12,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,PIA,635277.5,2,,,,3.0,,,,,,3.5,,,,,,233.5,,,,,,284.0,,,,,,115484.16666666667,,,,,,93045.0,,,0,0,0,0
13,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,RUS,191676.0,4,,,,4.0,,,,,,6.571428571428571,,,,,,278.0,,,,,,284.0,,,,,,95965.71428571429,,,,,,92731.0,,,0,0,0,0
14,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,SAI,202946.0,4,,,,5.0,,,,,,7.7272727272727275,,,,,,249.54545454545453,,,,,,285.0,,,,,,108389.72727272728,,,,,,92945.0,,,0,0,0,0
15,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,SAR,201633.0,4,,,,4.0,5.0,,,,,6.0,2.0,,,,,286.0,64.0,,,,,287.0,64.0,,,,,95011.0,126871.0,,,,,93665.0,126871.0,,0,0,0,0
16,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,STR,400191.0,3,,,,4.0,,,,,,4.0,,,,,,244.77777777777777,,,,,,284.0,,,,,,115331.11111111111,,,,,,92919.0,,,0,0,0,0
17,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,TSU,433047.0,2,,,,3.0,,,,,,4.1,,,,,,239.6,,,,,,285.0,,,,,,115956.1,,,,,,93475.0,,,0,0,0,0
18,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,VER,503318.49999999977,2,1.0,,,3.0,,,4.25,,,3.5,,,287.0,,,173.5,,,289.0,,,285.0,,,123979.0,,,111217.5,,,93704.0,,,92345.0,,,0,0,0,0
19,2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,ZHO,354923.25,4,,,,5.0,,,,,,3.75,,,,,,224.0,,,,,,281.0,,,,,,102230.5,,,,,,93180.0,,,0,0,0,0
20,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,ALB,495158.99999999977,2,,,,3.0,,,,,,4.75,,,,,,284.0,,,,,,305.0,,,,,,112639.5,,,,,,89983.0,,,0,0,0,0
