Time,Status,Message,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:00:00,1,AllClear,2023,1,FP3
0 days 00:00:00,1,AllClear,2023,2,FP3
0 days 00:00:00,1,AllClear,2023,3,FP3
0 days 00:03:22.366000,2,Yellow,2023,3,FP3
0 days 00:03:24.319000,1,AllClear,2023,3,FP3
0 days 00:03:25.132000,2,Yellow,2023,3,FP3
0 days 00:03:26.538000,1,AllClear,2023,3,FP3
0 days 00:06:20.441000,2,Yellow,2023,3,FP3
0 days 00:07:59.877000,1,AllClear,2023,3,FP3
0 days 00:44:16.557000,2,Yellow,2023,3,FP3
0 days 00:44:33.962000,1,AllClear,2023,3,FP3
0 days 00:47:43.678000,5,Red,2023,3,FP3
0 days 00:50:13.566000,1,AllClear,2023,3,FP3
0 days 01:03:00.146000,2,Yellow,2023,3,FP3
0 days 01:07:43.312000,1,AllClear,2023,3,FP3
0 days 01:10:34.356000,2,Yellow,2023,3,FP3
0 days 01:10:58.184000,1,AllClear,2023,3,FP3
0 days 00:00:00,1,AllClear,2023,5,FP3
0 days 00:37:10.147000,2,Yellow,2023,5,FP3
0 days 00:37:11.897000,1,AllClear,2023,5,FP3
0 days 00:00:35.185000,1,AllClear,2023,6,FP3
0 days 00:09:07.502000,2,Yellow,2023,6,FP3
0 days 00:09:09.487000,1,AllClear,2023,6,FP3
0 days 00:09:41.705000,2,Yellow,2023,6,FP3
0 days 00:09:43.111000,1,AllClear,2023,6,FP3
0 days 00:21:18.728000,2,Yellow,2023,6,FP3
0 days 00:21:30.509000,1,AllClear,2023,6,FP3
0 days 01:01:42.497000,2,Yellow,2023,6,FP3
0 days 01:02:58.590000,1,AllClear,2023,6,FP3
0 days 01:03:55.996000,2,Yellow,2023,6,FP3
0 days 01:04:32.823000,6,VSCDeployed,2023,6,FP3
0 days 01:06:37.494000,7,VSCEnding,2023,6,FP3
0 days 01:06:50.713000,1,AllClear,2023,6,FP3
0 days 01:07:41.087000,2,Yellow,2023,6,FP3
0 days 01:07:57.305000,5,Red,2023,6,FP3
0 days 00:00:00,1,AllClear,2023,7,FP3
0 days 00:23:19.975000,5,Red,2023,7,FP3
0 days 00:30:58.045000,1,AllClear,2023,7,FP3
0 days 00:00:00,1,AllClear,2023,8,FP3
0 days 00:22:22.195000,2,Yellow,2023,8,FP3
0 days 00:22:34.945000,1,AllClear,2023,8,FP3
0 days 00:43:33.985000,2,Yellow,2023,8,FP3
0 days 00:43:57.656000,5,Red,2023,8,FP3
0 days 00:50:39.243000,1,AllClear,2023,8,FP3
0 days 00:00:00,1,AllClear,2023,10,FP3
0 days 01:16:22.371000,2,Yellow,2023,10,FP3
0 days 01:16:24.824000,1,AllClear,2023,10,FP3
0 days 00:10:42.517000,1,AllClear,2023,11,FP3
0 days 00:38:08.556000,2,Yellow,2023,11,FP3
0 days 00:38:10.525000,1,AllClear,2023,11,FP3
0 days 00:00:00,1,AllClear,2023,13,FP3
0 days 00:23:59.375000,2,Yellow,2023,13,FP3
0 days 00:24:16.859000,5,Red,2023,13,FP3
0 days 00:31:11.901000,1,AllClear,2023,13,FP3
0 days 00:36:45.976000,2,Yellow,2023,13,FP3
0 days 00:36:48.898000,1,AllClear,2023,13,FP3
0 days 00:39:56.177000,5,Red,2023,13,FP3
0 days 00:47:33.734000,1,AllClear,2023,13,FP3
0 days 01:01:21.834000,2,Yellow,2023,13,FP3
0 days 01:01:36.006000,1,AllClear,2023,13,FP3
0 days 01:02:19.334000,2,Yellow,2023,13,FP3
0 days 01:02:51.583000,5,Red,2023,13,FP3
0 days 01:05:22.503000,1,AllClear,2023,13,FP3
0 days 01:08:30.704000,2,Yellow,2023,13,FP3
0 days 01:08:41.782000,1,AllClear,2023,13,FP3
0 days 00:00:00,1,AllClear,2023,14,FP3
0 days 00:37:42.141000,2,Yellow,2023,14,FP3
0 days 00:37:44.047000,1,AllClear,2023,14,FP3
0 days 00:00:00,1,AllClear,2023,15,FP3
0 days 00:08:58.138000,2,Yellow,2023,15,FP3
0 days 00:09:42.247000,1,AllClear,2023,15,FP3
0 days 00:40:19.805000,2,Yellow,2023,15,FP3
0 days 00:40:40.945000,1,AllClear,2023,15,FP3
0 days 01:03:57.617000,2,Yellow,2023,15,FP3
0 days 01:04:08.054000,1,AllClear,2023,15,FP3
0 days 00:00:00,1,AllClear,2023,16,FP3
0 days 00:00:00,2,Yellow,2023,19,FP3
0 days 00:03:19.326000,1,AllClear,2023,19,FP3
0 days 00:28:25.106000,2,Yellow,2023,19,FP3
0 days 00:28:48.887000,1,AllClear,2023,19,FP3
0 days 00:56:09.134000,2,Yellow,2023,19,FP3
0 days 00:56:22.634000,1,AllClear,2023,19,FP3
0 days 00:56:27.009000,2,Yellow,2023,19,FP3
0 days 00:56:32.337000,1,AllClear,2023,19,FP3
0 days 00:00:00,1,AllClear,2023,21,FP3
0 days 00:32:24.979000,2,Yellow,2023,21,FP3
0 days 00:32:32.994000,1,AllClear,2023,21,FP3
0 days 00:37:39.975000,2,Yellow,2023,21,FP3
0 days 00:37:43.663000,1,AllClear,2023,21,FP3
0 days 00:38:40.474000,2,Yellow,2023,21,FP3
0 days 00:38:50.724000,1,AllClear,2023,21,FP3
0 days 01:04:59.988000,2,Yellow,2023,21,FP3
0 days 01:05:12.097000,1,AllClear,2023,21,FP3
0 days 01:09:17.188000,2,Yellow,2023,21,FP3
0 days 01:10:06.281000,5,Red,2023,21,FP3
0 days 00:04:33.522000,1,AllClear,2023,22,FP3
0 days 01:11:07.233000,2,Yellow,2023,22,FP3
0 days 01:11:11.342000,1,AllClear,2023,22,FP3
0 days 00:00:00,1,AllClear,2024,1,FP3
0 days 00:00:00,1,AllClear,2024,2,FP3
0 days 00:00:15.614000,2,Yellow,2024,2,FP3
0 days 00:00:43.722000,1,AllClear,2024,2,FP3
0 days 00:57:51.373000,5,Red,2024,2,FP3
0 days 01:07:38.932000,1,AllClear,2024,2,FP3
0 days 00:00:00,2,Yellow,2024,3,FP3
0 days 00:10:20.989000,1,AllClear,2024,3,FP3
0 days 00:32:44.831000,2,Yellow,2024,3,FP3
0 days 00:32:49.896000,1,AllClear,2024,3,FP3
0 days 00:00:00,1,AllClear,2024,4,FP3
0 days 00:15:29.482000,2,Yellow,2024,4,FP3
0 days 00:15:33.962000,1,AllClear,2024,4,FP3
0 days 00:28:23.837000,2,Yellow,2024,4,FP3
0 days 00:28:29.865000,1,AllClear,2024,4,FP3
0 days 00:01:51.871000,1,AllClear,2024,7,FP3
0 days 00:36:30.606000,2,Yellow,2024,7,FP3
0 days 00:36:37.123000,5,Red,2024,7,FP3
0 days 00:42:21.940000,1,AllClear,2024,7,FP3
0 days 01:06:12.599000,2,Yellow,2024,7,FP3
0 days 01:06:19.329000,5,Red,2024,7,FP3
0 days 01:09:50.113000,1,AllClear,2024,7,FP3
0 days 00:00:00,1,AllClear,2024,8,FP3
0 days 00:25:14.440000,2,Yellow,2024,8,FP3
0 days 00:25:28.010000,5,Red,2024,8,FP3
0 days 00:28:44.976000,1,AllClear,2024,8,FP3
0 days 00:31:51.999000,2,Yellow,2024,8,FP3
0 days 00:31:58.055000,1,AllClear,2024,8,FP3
0 days 00:34:18.897000,2,Yellow,2024,8,FP3
0 days 00:34:40.697000,1,AllClear,2024,8,FP3
0 days 00:39:37.213000,2,Yellow,2024,8,FP3
0 days 00:40:19.188000,1,AllClear,2024,8,FP3
0 days 01:18:35.805000,2,Yellow,2024,8,FP3
0 days 00:00:00,4,SCDeployed,2024,9,FP3
0 days 00:02:23.891000,1,AllClear,2024,9,FP3
0 days 00:20:13.261000,2,Yellow,2024,9,FP3
0 days 00:20:31.097000,5,Red,2024,9,FP3
0 days 00:23:29.031000,1,AllClear,2024,9,FP3
0 days 01:02:57.556000,2,Yellow,2024,9,FP3
0 days 01:03:01.130000,1,AllClear,2024,9,FP3
0 days 01:16:47.848000,2,Yellow,2024,9,FP3
0 days 01:16:50.339000,1,AllClear,2024,9,FP3
0 days 00:00:00,1,AllClear,2024,10,FP3
0 days 00:05:38.926000,2,Yellow,2024,10,FP3
0 days 00:05:39.420000,1,AllClear,2024,10,FP3
0 days 00:05:40.437000,2,Yellow,2024,10,FP3
0 days 00:05:40.931000,1,AllClear,2024,10,FP3
0 days 00:05:41.936000,2,Yellow,2024,10,FP3
0 days 00:05:42.930000,1,AllClear,2024,10,FP3
0 days 00:05:45.166000,2,Yellow,2024,10,FP3
0 days 00:05:45.501000,1,AllClear,2024,10,FP3
0 days 00:05:47.503000,2,Yellow,2024,10,FP3
0 days 00:05:49.983000,1,AllClear,2024,10,FP3
0 days 00:08:53.304000,2,Yellow,2024,10,FP3
0 days 00:08:56.307000,1,AllClear,2024,10,FP3
0 days 00:08:57.800000,2,Yellow,2024,10,FP3
0 days 00:08:58.333000,1,AllClear,2024,10,FP3
0 days 00:08:59.299000,2,Yellow,2024,10,FP3
0 days 00:08:59.839000,1,AllClear,2024,10,FP3
0 days 00:00:00,1,AllClear,2024,12,FP3
0 days 00:22:08.776000,2,Yellow,2024,12,FP3
0 days 00:22:27.767000,5,Red,2024,12,FP3
0 days 00:26:14.812000,1,AllClear,2024,12,FP3
0 days 00:32:48.501000,2,Yellow,2024,12,FP3
0 days 00:32:53.689000,1,AllClear,2024,12,FP3
0 days 00:10:29.856000,1,AllClear,2024,13,FP3
0 days 01:07:37.016000,2,Yellow,2024,13,FP3
0 days 01:08:14.727000,1,AllClear,2024,13,FP3
0 days 00:00:00,2,Yellow,2024,14,FP3
0 days 00:02:44.670000,1,AllClear,2024,14,FP3
0 days 00:03:49.254000,2,Yellow,2024,14,FP3
0 days 00:03:56.853000,1,AllClear,2024,14,FP3
0 days 00:05:17.165000,2,Yellow,2024,14,FP3
0 days 00:05:37.139000,1,AllClear,2024,14,FP3
0 days 00:06:28.912000,2,Yellow,2024,14,FP3
0 days 00:09:27.577000,1,AllClear,2024,14,FP3
0 days 00:21:36.954000,2,Yellow,2024,14,FP3
0 days 00:21:38.461000,1,AllClear,2024,14,FP3
0 days 00:21:45.042000,2,Yellow,2024,14,FP3
0 days 00:21:48.058000,1,AllClear,2024,14,FP3
0 days 00:22:47.631000,2,Yellow,2024,14,FP3
0 days 00:22:53.710000,1,AllClear,2024,14,FP3
0 days 00:25:36.453000,2,Yellow,2024,14,FP3
