Time,Status,Message,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:00:00,1,AllClear,2023,1,FP2
0 days 00:26:12.809000,2,Yellow,2023,1,FP2
0 days 00:26:21.871000,1,AllClear,2023,1,FP2
0 days 00:00:00,1,AllClear,2023,2,FP2
0 days 00:26:35.779000,2,Yellow,2023,2,FP2
0 days 00:26:36.857000,1,AllClear,2023,2,FP2
0 days 00:39:30.661000,2,Yellow,2023,2,FP2
0 days 00:39:48.926000,1,AllClear,2023,2,FP2
0 days 01:16:37.182000,2,Yellow,2023,2,FP2
0 days 01:16:48.994000,6,VSCDeployed,2023,2,FP2
0 days 01:22:00.616000,1,AllClear,2023,2,FP2
0 days 00:00:00,2,Yellow,2023,3,FP2
0 days 00:05:11.655000,1,AllClear,2023,3,FP2
0 days 00:06:50.263000,2,Yellow,2023,3,FP2
0 days 00:07:49.090000,1,AllClear,2023,3,FP2
0 days 01:16:59.484000,2,Yellow,2023,3,FP2
0 days 01:17:15.796000,6,VSCDeployed,2023,3,FP2
0 days 01:21:30.714000,1,AllClear,2023,3,FP2
0 days 00:00:00,1,AllClear,2023,5,FP2
0 days 00:22:02.860000,2,Yellow,2023,5,FP2
0 days 00:22:13.251000,1,AllClear,2023,5,FP2
0 days 00:22:13.423000,2,Yellow,2023,5,FP2
0 days 00:22:15.594000,1,AllClear,2023,5,FP2
0 days 00:47:47.390000,2,Yellow,2023,5,FP2
0 days 00:47:54.171000,1,AllClear,2023,5,FP2
0 days 01:01:47.989000,2,Yellow,2023,5,FP2
0 days 01:01:52.864000,1,AllClear,2023,5,FP2
0 days 01:04:36.878000,2,Yellow,2023,5,FP2
0 days 01:04:58.440000,5,Red,2023,5,FP2
0 days 01:09:43.546000,1,AllClear,2023,5,FP2
0 days 00:00:00,1,AllClear,2023,6,FP2
0 days 00:07:48.522000,2,Yellow,2023,6,FP2
0 days 00:08:05.490000,1,AllClear,2023,6,FP2
0 days 00:41:09.171000,2,Yellow,2023,6,FP2
0 days 00:41:12.562000,1,AllClear,2023,6,FP2
0 days 00:57:08.817000,2,Yellow,2023,6,FP2
0 days 00:57:30.098000,5,Red,2023,6,FP2
0 days 01:01:41.532000,1,AllClear,2023,6,FP2
0 days 01:15:39.085000,2,Yellow,2023,6,FP2
0 days 01:15:47.898000,6,VSCDeployed,2023,6,FP2
0 days 01:20:23.317000,7,VSCEnding,2023,6,FP2
0 days 00:05:20.475000,1,AllClear,2023,7,FP2
0 days 00:00:00,1,AllClear,2023,8,FP2
0 days 00:43:20.625000,2,Yellow,2023,8,FP2
0 days 00:43:31.484000,5,Red,2023,8,FP2
0 days 00:51:03.104000,1,AllClear,2023,8,FP2
0 days 00:57:13.725000,2,Yellow,2023,8,FP2
0 days 00:57:31.522000,5,Red,2023,8,FP2
0 days 01:01:42.894000,1,AllClear,2023,8,FP2
0 days 01:22:14.255000,2,Yellow,2023,8,FP2
0 days 01:22:18.770000,1,AllClear,2023,8,FP2
0 days 01:29:13.703000,2,Yellow,2023,8,FP2
0 days 01:29:21.938000,1,AllClear,2023,8,FP2
0 days 01:47:16.426000,2,Yellow,2023,8,FP2
0 days 01:47:21.410000,1,AllClear,2023,8,FP2
0 days 00:00:00,2,Yellow,2023,10,FP2
0 days 00:01:45.725000,1,AllClear,2023,10,FP2
0 days 01:12:44.832000,2,Yellow,2023,10,FP2
0 days 01:13:27.629000,1,AllClear,2023,10,FP2
0 days 00:00:00,1,AllClear,2023,11,FP2
0 days 01:16:06.838000,2,Yellow,2023,11,FP2
0 days 01:16:15.854000,6,VSCDeployed,2023,11,FP2
0 days 01:20:34.101000,7,VSCEnding,2023,11,FP2
0 days 01:20:49.163000,1,AllClear,2023,11,FP2
0 days 00:13:48.741000,1,AllClear,2023,13,FP2
0 days 00:24:43.681000,2,Yellow,2023,13,FP2
0 days 00:24:52.868000,5,Red,2023,13,FP2
0 days 00:37:03.152000,1,AllClear,2023,13,FP2
0 days 01:14:03.127000,2,Yellow,2023,13,FP2
